job_id,domain,required_skills,num_required_skills,required_experience,client_type
J0001,Mobile Development,"Flutter, Java, Kotlin, React Native, Swift",5,3.0,Enterprise
J0002,Healthcare IT,"FHIR, HIPAA Compliance, Python",3,7.0,Banking
J0003,Mobile Development,"Flutter, Java, Kotlin, Objective-C, React Native",5,1.0,Enterprise
J0004,Banking/Fintech Software,"Core Banking Systems, REST APIs, SQL, Spring Boot",4,7.0,Startup
J0005,Banking/Fintech Software,"Core Banking Systems, Java, Spring Boot",3,5.0,Enterprise
J0006,Web Development,"HTML, Node.js, PHP, React",4,3.0,Startup
J0007,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Python, SQL",5,1.0,Banking
J0008,Data & ML,"Excel, Pandas, Power BI, SQL, TensorFlow",5,3.0,Enterprise
J0009,Mobile Development,"Flutter, Java, Kotlin, Objective-C, Swift",5,7.0,Enterprise
J0010,Data & ML,"Excel, Pandas, Python, SQL",4,3.0,Startup
J0011,Mobile Development,"Flutter, Java, Objective-C, Swift",4,2.0,Healthcare
J0012,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs",3,0.5,Banking
J0013,Data & ML,"Excel, Pandas, TensorFlow",3,1.0,Banking
J0014,Data & ML,"Excel, Machine Learning, Pandas, Python",4,5.0,Banking
J0015,Web Development,"HTML, PHP, React",3,1.0,Banking
J0016,Web Development,"Angular, CSS, Django, PHP",4,2.0,Enterprise
J0017,Cloud & DevOps,"AWS, Azure, CI/CD, Docker, Kubernetes",5,1.0,Enterprise
J0018,Healthcare IT,"HIPAA Compliance, HL7, Java, Python, SQL",5,0.5,Healthcare
J0019,Web Development,"Angular, Django, JavaScript, Node.js, PHP",5,5.0,Banking
J0020,Web Development,"CSS, JavaScript, React",3,0.5,Enterprise
J0021,Web Development,"Angular, CSS, Django",3,1.0,Healthcare
J0022,Web Development,"CSS, Django, JavaScript, PHP, React",5,7.0,Banking
J0023,Data & ML,"Excel, Power BI, Python, SQL, TensorFlow",5,2.0,Enterprise
J0024,Healthcare IT,"FHIR, HIPAA Compliance, Java",3,3.0,Enterprise
J0025,Web Development,"Angular, HTML, React",3,2.0,Enterprise
J0026,Banking/Fintech Software,"REST APIs, SQL, Spring Boot",3,0.5,Healthcare
J0027,Web Development,"Angular, Django, JavaScript, Node.js, PHP",5,7.0,Enterprise
J0028,Data & ML,"Excel, Machine Learning, Power BI, SQL, TensorFlow",5,1.0,Startup
J0029,Cloud & DevOps,"Azure, Kubernetes, Terraform",3,3.0,Enterprise
J0030,Banking/Fintech Software,"Core Banking Systems, REST APIs, SQL",3,2.0,Startup
J0031,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, SQL",5,2.0,Startup
J0032,Healthcare IT,"FHIR, Java, SQL",3,1.0,Startup
J0033,Healthcare IT,"HL7, Java, Python, SQL",4,5.0,Enterprise
J0034,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, SQL",5,2.0,Banking
J0035,Web Development,"CSS, Django, HTML, Node.js, PHP",5,3.0,Startup
J0036,Mobile Development,"Objective-C, React Native, Swift",3,0.5,Banking
J0037,Healthcare IT,"FHIR, HL7, SQL",3,0.5,Startup
J0038,Data & ML,"Power BI, Python, TensorFlow",3,1.0,Healthcare
J0039,Healthcare IT,"HIPAA Compliance, Java, Python",3,3.0,Healthcare
J0040,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot",5,2.0,Startup
J0041,Banking/Fintech Software,"Java, REST APIs, SQL, Spring Boot",4,5.0,Healthcare
J0042,Banking/Fintech Software,"Core Banking Systems, SQL, Spring Boot",3,1.0,Startup
J0043,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot",5,7.0,Enterprise
J0044,Mobile Development,"Flutter, Java, Objective-C, React Native",4,5.0,Banking
J0045,Data & ML,"Machine Learning, Pandas, Python",3,3.0,Startup
J0046,Mobile Development,"Flutter, Java, Objective-C, React Native, Swift",5,2.0,Enterprise
J0047,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, Python",5,2.0,Startup
J0048,Data & ML,"Excel, Power BI, TensorFlow",3,2.0,Startup
J0049,Web Development,"Angular, CSS, Node.js",3,1.0,Healthcare
J0050,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot",5,0.5,Startup
J0051,Mobile Development,"Java, Objective-C, React Native, Swift",4,0.5,Startup
J0052,Mobile Development,"Java, Kotlin, Objective-C, Swift",4,7.0,Banking
J0053,Web Development,"CSS, Node.js, React",3,2.0,Healthcare
J0054,Web Development,"HTML, JavaScript, Node.js, PHP, React",5,5.0,Startup
J0055,Web Development,"Angular, Django, Node.js, PHP, React",5,1.0,Banking
J0056,Cloud & DevOps,"AWS, Azure, Docker, Terraform",4,3.0,Banking
J0057,Mobile Development,"Flutter, Java, Objective-C, Swift",4,5.0,Banking
J0058,Mobile Development,"Flutter, Kotlin, Objective-C, React Native",4,5.0,Healthcare
J0059,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot",5,0.5,Enterprise
J0060,Healthcare IT,"HIPAA Compliance, HL7, Java, Python, SQL",5,7.0,Healthcare
J0061,Cloud & DevOps,"AWS, Azure, CI/CD, Kubernetes, Linux",5,0.5,Enterprise
J0062,Data & ML,"Excel, Pandas, Power BI, TensorFlow",4,2.0,Startup
J0063,Web Development,"HTML, Node.js, PHP",3,2.0,Banking
J0064,Healthcare IT,"HIPAA Compliance, HL7, Java, SQL",4,1.0,Banking
J0065,Healthcare IT,"HIPAA Compliance, HL7, SQL",3,7.0,Startup
J0066,Healthcare IT,"FHIR, HIPAA Compliance, HL7, Java, SQL",5,1.0,Enterprise
J0067,Data & ML,"Excel, Power BI, Python",3,1.0,Enterprise
J0068,Mobile Development,"Java, Kotlin, Objective-C, React Native, Swift",5,5.0,Startup
J0069,Healthcare IT,"FHIR, HL7, Java, SQL",4,3.0,Healthcare
J0070,Web Development,"Angular, Django, HTML, Node.js",4,3.0,Enterprise
J0071,Banking/Fintech Software,"Core Banking Systems, Java, REST APIs, SQL, Spring Boot",5,2.0,Healthcare
J0072,Data & ML,"Power BI, SQL, TensorFlow",3,2.0,Healthcare
J0073,Mobile Development,"Flutter, Java, React Native, Swift",4,5.0,Banking
